"Desarrollador/a Senior Java. Full remote.";"Qindel Group";"Madrid, Community of Madrid, Spain";"";"https://www.linkedin.com/jobs/view/4409265544"
"Desarrollador Java (MID)";"Fintonic";"Madrid, Community of Madrid, Spain";"";"https://www.linkedin.com/jobs/view/4412275399"
